29/6/2026,,,,,,,,,,,,,,,,
PROVEEDOR,IVA PROVEEDOR,FECHA RECEPCIÓN MERCADERÍA,COMPROBANTE,NÚMERO COMPROBANTE,TOTAL COMPROBANTE $,IVA $,TOTAL NETO IVA $,Ds Pago convenidos,VENCIMIENTO,FECHA PAGO,MONTO PAGO,PENDIENTE PAGO,ESTADO,FORMA PAGO,COMENTARIOS,Linea P&L
Vines & Co.,"21,0%",15/10/2025,Factura A,22559,"$2.053.298,02","$431.192,58","$1.622.105,44",  21 ,5/11/2025,3/11/2025,"$2.053.298,02","$0,00",PAGADO,Posnet Proveedor,"705793,02 el 3/11",CMV
Over Clean,,14/10/2025,Remito,45408,"$183.319,02","$0,00","$183.319,02",  7 ,21/10/2025,23/10/2025,"$183.319,02","$0,00",PAGADO,Efectivo ADM,,"Limpieza, Descartables y Bazar"
Over Clean,,14/10/2025,Remito,45411,"$6.145,35","$0,00","$6.145,35",  7 ,21/10/2025,23/10/2025,"$6.145,35","$0,00",PAGADO,Efectivo ADM,,"Limpieza, Descartables y Bazar"
Nueve Seis Nueve,,16/10/2025,Remito,,"$54.179,92","$0,00","$54.179,92",  -   ,16/10/2025,16/10/2025,"$54.179,92","$0,00",PAGADO,,,CMV
Masa Mia,,15/10/2025,Remito,,"$135.000,00","$0,00","$135.000,00",  -   ,15/10/2025,15/10/2025,"$135.000,00","$0,00",PAGADO,,,CMV
Tato Growler (Pintas),"21,0%",21/10/2025,Sin comprobante,0,"$206.152,00","$0,00","$206.152,00",  -   ,21/10/2025,21/10/2025,"$206.152,00","$0,00",PAGADO,,,"Limpieza, Descartables y Bazar"
CGyL,,22/10/2025,Sin comprobante,-,"$40.000,00","$0,00","$40.000,00",  -   ,22/10/2025,22/10/2025,"$40.000,00","$0,00",PAGADO,,,"Servicios, Seguros & Tasas"
Vines & Co.,"21,0%",17/10/2025,Factura A,22613,"$185.890,84","$39.037,08","$146.853,76",  21 ,7/11/2025,3/11/2025,"$185.890,84","$0,00",PAGADO,Posnet Proveedor,,CMV
Hillbillys,"21,0%",18/10/2025,Remito,9602,"$95.150,00","$0,00","$95.150,00",  20 ,7/11/2025,7/11/2025,"$95.150,00","$0,00",PAGADO,Transferencia,,CMV
Hillbillys,"21,0%",18/10/2025,Remito,9595,"$477.300,00","$0,00","$477.300,00",  20 ,7/11/2025,7/11/2025,"$477.300,00","$0,00",PAGADO,Transferencia,,CMV
