Mes del Gasto,COSTOS FIJOS / OTROS GASTOS,Comentario / Proveedor,LOCAL - ADM CENTRAL,Importe,Check %, %, MORENO,%,VIA VIEJA,%,COLEGIO,%,GG2,%,GG4, MONTO PAGO,FECHA PAGO,FORMA PAGO,Saldo a Pagar,Linea P&L
Abril,Alquiler Locales,,GG4," $  1.967.000,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  1.967.000,0 "," $  1.967.000,0 ",7/4/2026,Transferencia, $  -   ,Alquileres & Expensas
Abril,Alquiler Locales,,GG2," $  1.056.852,1 ",0%,, $  -   ,, $  -   ,, $  -   ,100%," $  1.056.852,1 ",, $  -   ," $  1.056.852,1 ",7/4/2026,Transferencia," $  0,0 ",Alquileres & Expensas
Abril,Gastos con tarjeta ,,GG2," $  250.000,0 ",0%,, $  -   ,, $  -   ,, $  -   ,100%," $  250.000,0 ",, $  -   ," $  250.000,0 ",7/4/2026,Transferencia, $  -   ,Gastos Varios
Abril,Internet Locales,,MORENO," $  16.000,0 ",0%,100%," $  16.000,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  16.000,0 ",7/4/2026,Transferencia, $  -   ,"Servicios, Seguros & Tasas"
Abril,Gastos Mantenimiento Locales ,,MORENO," $  150.300,0 ",0%,100%," $  150.300,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  150.300,0 ",7/4/2026,Transferencia, $  -   ,Mantenimiento
Abril,Gastos Mantenimiento Locales ,ELECTRICISTA,GG4," $  380.000,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  380.000,0 "," $  380.000,0 ",8/4/2026,Transferencia, $  -   ,Mantenimiento
Abril,Sueldos,vacaciones vicu,MORENO," $  335.000,0 ",0%,100%," $  335.000,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,," $  335.000,0 ","Jornales, Semanales y Mensualizados por HORA"
Abril,DreI - Habilitaciones - Multas,control urbano,GG4," $  101.825,6 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  101.825,6 "," $  101.825,6 ",10/4/2026,Transferencia,"-$  0,0 ","Servicios, Seguros & Tasas"
Marzo,Agua Locales,,GG4," $  58.174,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  58.174,0 "," $  58.174,0 ",10/3/2026,DB.Aut.Local, $  -   ,"Servicios, Seguros & Tasas"
Marzo,Agua Locales,,GG4," $  9.431,0 ",0%,, $  -   ,, $  -   ,, $  -   ,, $  -   ,100%," $  9.431,0 "," $  9.431,0 ",10/3/2026,DB.Aut.Local, $  -   ,"Servicios, Seguros & Tasas"
Marzo,Luz Oficina Adm. ,,ADM Central," $  36.459,0 ",0%,40%," $  14.583,6 ",30%," $  10.937,7 ",20%," $  7.291,8 ",5%," $  1.823,0 ",5%," $  1.823,0 "," $  36.459,0 ",29/4/2026,Transferencia, $  -   ,Gastos Centrales
Abril,Luz Oficina Adm. ,,ADM Central," $  34.472,0 ",0%,40%," $  13.788,8 ",30%," $  10.341,6 ",20%," $  6.894,4 ",5%," $  1.723,6 ",5%," $  1.723,6 ",,,," $  34.472,0 ",Gastos Centrales
Marzo,Gas Locales,,MORENO," $  73.853,0 ",0%,100%," $  73.853,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  73.853,1 ",9/3/2026,DB.Aut.Local,"-$  0,1 ","Servicios, Seguros & Tasas"
Abril,Gas Locales,,MORENO," $  77.044,1 ",0%,100%," $  77.044,1 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,," $  77.044,1 ","Servicios, Seguros & Tasas"
Mayo,Gas Locales,,MORENO," $  67.690,0 ",0%,100%," $  67.690,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ,,,," $  67.690,0 ","Servicios, Seguros & Tasas"
Marzo,Gas Locales,,VIA VIEJA," $  107.450,1 ",0%,, $  -   ,100%," $  107.450,1 ",, $  -   ,, $  -   ,, $  -   ," $  107.450,0 ",9/3/2026,DB.Aut.Local," $  0,1 ","Servicios, Seguros & Tasas"
Abril,Gas Locales,,VIA VIEJA," $  104.908,0 ",0%,, $  -   ,100%," $  104.908,0 ",, $  -   ,, $  -   ,, $  -   ,,,," $  104.908,0 ","Servicios, Seguros & Tasas"
Abril,Honorarios Contador,,ADM Central," $  270.000,0 ",0%,40%," $  108.000,0 ",30%," $  81.000,0 ",20%," $  54.000,0 ",5%," $  13.500,0 ",5%," $  13.500,0 "," $  270.000,0 ",14/4/2026,EF ADM, $  -   ,Costos Centrales Pool
Abril,Alquiler Oficina Adm.,,ADM Central," $  390.000,0 ",0%,40%," $  156.000,0 ",30%," $  117.000,0 ",20%," $  78.000,0 ",5%," $  19.500,0 ",5%," $  19.500,0 "," $  390.000,0 ",14/4/2026,EF ADM, $  -   ,Gastos Centrales
Abril,Liquidaciones finales,Mati Ferrari,GG2," $  325.000,0 ",0%,, $  -   ,, $  -   ,, $  -   ,100%," $  325.000,0 ",, $  -   ,,,," $  325.000,0 ",Liquidaciones Finales Locales
Abril,Community Manager,Publicidad IG,MORENO," $  20.000,0 ",0%,100%," $  20.000,0 ",, $  -   ,, $  -   ,, $  -   ,, $  -   ," $  20.000,0 ",13/4/2026,Transferencia, $  -   ,Costos Centrales Pool
Marzo,Sueldos Administracion: Juani,,ADM Central," $  1.270.500,0 ",0%,40%," $  508.200,0 ",30%," $  381.150,0 ",20%," $  254.100,0 ",5%," $  63.525,0 ",5%," $  63.525,0 "," $  1.270.500,0 ",7/4/2026,EF/TR ADM, $  -   ,Sueldos Centrales Pool
